university;year;rank_display;score;country;city;region;type;research_output;student_faculty_ratio;international_students;size;faculty_count
Massachusetts Institute of Technology (MIT) ;2017;1;100.0;United States;Cambridge;North America;Private;Very High;4.0;3,730;M;3,065
Stanford University;2017;2;98.7;United States;Stanford;North America;Private;Very High;3.0;3,879;L;4,725
Harvard University;2017;3;98.3;United States;Cambridge;North America;Private;Very High;5.0;5,877;L;4,646
University of Cambridge;2017;4;97.2;United Kingdom;Cambridge;Europe;Public;Very high;4.0;7,925;L;5,800
California Institute of Technology (Caltech);2017;5;96.9;United States;Pasadena;North America;Private;Very High;2.0;692;S;968
University of Oxford;2017;6;96.8;United Kingdom;Oxford;Europe;Public;Very High;3.0;8,442;L;6,708
UCL;2017;7;95.6;United Kingdom;London;Europe;Public;Very High;5.0;21,824;XL;7,195
ETH Zurich - Swiss Federal Institute of Technology;2017;8;94.2;Switzerland;Zürich;Europe;Public;Very High;7.0;7,733;L;2,719
Imperial College London;2017;9;94.1;United Kingdom;London;Europe;Public;Very High;5.0;11,143;L;8,000
University of Chicago;2017;10;93.0;United States;Chicago;North America;Private;Very High;6.0;4,696;L;2,703
Princeton University;2017;11;92.8;United States;Princeton;North America;Private;Very High;8.0;1,912;M;1,050
National University of Singapore (NUS);2017;12;91.5;Singapore;Singapore;Asia;Public;Very High;7.0;7,551;XL;4,288
Nanyang Technological University, Singapore (NTU);2017;13;91.4;Singapore;Singapore;Asia;Public;Very High;6.0;6,091;L;3,812
EPFL;2017;14;91.1;Switzerland;Lausanne;Europe;Public;Very High;6.0;6,426;M;1,767
Yale University;2017;15;90.9;United States;New Haven;North America;Private;Very High;2.0;2,537;M;5,391
Cornell University;2017;16;90.1;United States;Ithaca;North America;Private;Very High;8.0;5,675;L;2,843
Johns Hopkins University;2017;17;89.3;United States;Baltimore;North America;Private;Very High;3.0;5,070;L;4,855
University of Pennsylvania;2017;18;89.0;United States;Philadelphia;North America;Private;Very High;4.0;4,636;L;5,154
The University of Edinburgh;2017;19;88.9;United Kingdom;Edinburgh;Europe;Public;Very High;7.0;14,637;XL;4,832
Columbia University;2017;20;88.6;United States;New York City;North America;Private;Very High;4.0;11,252;L;7,087
King's College London;2017;21;87.7;United Kingdom;London;Europe;Public;Very High;7.0;15,075;L;4,216
The Australian National University;2017;22;87.3;Australia;Canberra;Oceania;Public;Very High;9.0;6,496;L;1,763
University of Michigan-Ann Arbor;2017;23;86.4;United States;Ann Arbor;North America;Public;Very High;6.0;7,341;XL;7,132
Tsinghua University;2017;24;86.0;China (Mainland);Beijing;Asia;Public;Very High;6.0;5,420;XL;6,174
Duke University;2017;24;86.0;United States;Durham;North America;Private;Very High;3.0;3,445;L;5,673
Northwestern University;2017;26;85.7;United States;Evanston;North America;Private;Very High;5.0;3,846;L;3,652
The University of Hong Kong;2017;27;85.4;Hong Kong SAR;Hong Kong;Asia;Public;Very High;7.0;8,311;L;2,944
University of California, Berkeley (UCB);2017;28;85.2;United States;Berkeley;North America;Public;Very High;11.0;9,428;XL;3,701
The University of Manchester;2017;29;84.8;United Kingdom;Manchester;Europe;Public;Very High;8.0;16,079;XL;4,889
McGill University;2017;30;84.1;Canada;Montreal;North America;Public;Very High;7.0;10,827;L;3,876
University of California, Los Angeles (UCLA);2017;31;84.0;United States;Los Angeles;North America;Public;Very High;10.0;6,140;XL;4,487
University of Toronto;2017;32;83.8;Canada;Toronto;North America;Public;Very high;8.0;27,536;XL;9,881
Ecole normale supérieure, Paris;2017;33;79.9;France;Paris;Europe;Public;Very High;11.0;374;S;178
The University of Tokyo;2017;34;82.6;Japan;Tokyo;Asia;Public;Very High;6.0;3,983;L;4,473
Seoul National University;2017;35;82.1;South Korea;Seoul;Asia;Public;Very High;7.0;1,914;L;3,859
The Hong Kong University of Science and Technology;2017;36;81.8;Hong Kong SAR;Hong Kong;Asia;Public;Very High;8.0;3,033;M;697
Kyoto University;2017;37;81.7;Japan;Kyoto;Asia;Public;Very High;6.0;2,863;L;3,911
The London School of Economics and Political Science (LSE);2017;37;81.7;United Kingdom;London;Europe;Public;Very High;10.0;8,274;M;1,172
Peking University;2017;39;81.3;China (Mainland);Beijing;Asia;Public;Very High;6.0;5,436;XL;5,302
University of California, San Diego (UCSD);2017;40;80.6;United States;San Diego;North America;Public;Very High;8.0;8,567;XL;4,545
University of Bristol;2017;41;79.6;United Kingdom;Bristol;Europe;Public;Very High;8.0;7,483;L;20,311
The University of Melbourne;2017;42;79.5;Australia;Parkville;Oceania;Public;Very high;19.0;21,406;S;4,835
Fudan University;2017;43;79.4;China (Mainland);Shanghai;Asia;Public;Very High;6.0;5,322;L;4,526
The Chinese University of Hong Kong (CUHK);2017;44;78.1;Hong Kong SAR;Hong Kong;Asia;Public;Very High;8.0;6,062;L;2,201
University of British Columbia;2017;45;78.0;Canada;Vancouver;North America;Public;Very High;9.0;15,399;XL;6,201
